Date,Crakehill (t-1),Skip Bridge (t-1),Westwick (t-1),Skelton (t-1),Arkengarthdale (t-1),East Cowton (t-1),Malham Tarn (t-1),Snaizeholme (t-1),Skelton Flow
02/01/1993,10.40,4.39,9.29,26.10,0.00,0.00,0.00,4.00,24.86
03/01/1993,9.95,4.24,8.62,24.86,0.00,0.00,0.80,0.00,23.60
04/01/1993,9.46,4.12,8.06,23.60,0.00,0.00,0.80,0.00,23.47
05/01/1993,9.41,4.36,7.93,23.47,2.40,24.80,0.80,61.60,60.70
06/01/1993,26.30,11.96,58.70,60.70,11.20,5.60,33.60,111.20,98.01
07/01/1993,32.10,10.24,34.42,98.01,0.00,0.00,1.60,0.80,56.99
08/01/1993,19.30,7.25,22.26,56.99,5.60,4.00,17.60,36.00,56.66
09/01/1993,22.00,7.27,29.59,56.66,1.60,0.00,1.60,2.40,78.10
10/01/1993,35.50,8.15,60.25,78.10,14.40,0.80,55.20,104.80,125.70
11/01/1993,51.00,13.28,93.95,125.70,20.80,2.40,76.00,136.80,195.90
12/01/1993,65.50,25.56,69.50,195.90,10.40,16.00,12.00,28.00,125.40
13/01/1993,32.00,20.72,40.51,125.40,7.20,4.00,0.80,24.00,161.50
14/01/1993,64.30,36.54,106.75,161.50,39.20,8.80,82.80,118.00,204.00
15/01/1993,69.10,28.46,60.33,204.00,5.60,1.60,8.00,12.80,200.60
16/01/1993,94.60,33.76,142.16,200.60,36.00,12.00,72.00,72.00,234.40
17/01/1993,99.00,38.48,77.44,234.40,8.80,2.40,7.20,40.00,160.10
18/01/1993,58.20,21.02,57.10,160.10,6.40,0.80,0.00,21.60,104.10
19/01/1993,34.10,15.19,42.70,104.10,16.80,2.40,44.00,103.20,136.40
20/01/1993,59.80,16.46,79.03,136.40,7.20,0.00,34.40,86.40,137.10
21/01/1993,48.00,18.59,70.19,137.10,6.40,0.00,19.20,26.40,124.30
22/01/1993,42.60,18.69,88.49,124.30,27.20,4.00,51.20,80.40,175.90
23/01/1993,66.60,26.50,74.37,175.90,4.80,2.40,6.40,18.40,128.10
24/01/1993,41.40,23.12,101.23,128.10,40.80,18.40,62.40,120.40,270.30
25/01/1993,124.00,57.87,138.30,270.30,28.00,16.80,7.20,29.60,206.50
26/01/1993,70.00,34.92,62.33,206.50,2.40,0.00,0.00,2.40,116.40
27/01/1993,35.40,18.52,43.34,116.40,0.80,0.00,0.00,9.60,92.52
28/01/1993,33.20,16.11,39.66,92.52,3.20,7.20,0.80,12.00,104.30
29/01/1993,36.30,18.06,61.69,104.30,0.80,6.40,7.20,84.80,106.00
30/01/1993,33.90,18.29,43.67,106.00,0.80,0.00,4.80,4.00,80.07
31/01/1993,25.80,15.20,31.68,80.07,0.00,0.00,0.00,2.40,64.14
01/02/1993,22.10,11.82,26.37,64.14,0.00,7.20,7.20,4.00,56.13
02/02/1993,20.20,10.62,21.88,56.13,0.00,0.00,0.80,4.80,50.29
03/02/1993,18.40,9.61,19.05,50.29,0.00,0.00,0.80,0.00,43.38
04/02/1993,16.90,6.39,17.18,43.38,0.00,0.00,0.00,0.00,40.47
05/02/1993,15.80,7.11,15.51,40.47,0.00,0.00,0.80,0.00,37.36
06/02/1993,14.90,6.21,14.63,37.36,4.80,9.60,0.00,2.40,37.74
07/02/1993,15.50,6.64,14.92,37.74,0.80,7.20,4.80,1.60,38.31
08/02/1993,15.80,6.34,14.10,38.31,0.00,0.00,1.60,0.00,36.22
09/02/1993,14.90,6.01,12.96,36.22,1.60,0.00,0.00,0.00,35.92
10/02/1993,14.60,6.45,13.35,35.92,0.80,0.00,0.00,0.00,36.61
11/02/1993,14.70,6.61,13.52,36.61,0.00,0.00,0.00,0.80,35.60
12/02/1993,14.40,6.35,13.02,35.60,0.00,0.00,0.00,0.00,33.17
13/02/1993,13.40,5.81,11.88,33.17,0.00,0.00,0.00,0.00,30.73
14/02/1993,12.20,5.48,11.05,30.73,0.00,0.00,0.00,0.00,29.24
15/02/1993,11.90,5.28,10.44,29.24,0.00,0.00,0.00,0.00,27.48
16/02/1993,11.40,5.10,9.91,27.48,0.00,0.00,28.80,0.00,26.18
17/02/1993,10.80,4.87,9.48,26.18,0.00,0.00,0.80,0.00,25.14
18/02/1993,10.40,4.68,8.97,25.14,0.00,0.00,8.00,0.00,24.24
19/02/1993,10.30,4.57,8.85,24.24,1.60,0.00,38.40,17.60,23.59
20/02/1993,9.84,4.38,8.55,23.59,0.00,0.00,2.40,0.00,22.70
21/02/1993,9.46,4.09,8.72,22.70,0.00,0.00,6.40,0.80,21.52
22/02/1993,8.87,3.95,8.01,21.52,0.00,0.00,0.00,0.00,20.43
23/02/1993,8.52,3.78,7.72,20.43,1.60,0.00,0.80,1.60,20.35
24/02/1993,8.71,3.62,7.50,20.35,0.00,0.00,1.60,0.00,20.12
25/02/1993,8.50,3.55,7.27,20.12,0.00,0.00,0.00,0.00,19.47
26/02/1993,8.48,3.15,7.08,19.47,1.60,0.80,12.00,51.20,20.01
27/02/1993,8.88,3.28,8.17,20.01,16.80,15.20,4.80,8.00,21.74
28/02/1993,9.45,3.13,8.87,21.74,5.60,0.80,10.40,4.00,20.26
01/03/1993,8.59,2.97,7.84,20.26,5.60,15.20,0.80,0.00,20.76
02/03/1993,8.94,3.36,7.60,20.76,21.60,16.00,1.60,11.20,23.62
03/03/1993,11.50,3.40,7.54,23.62,1.60,0.00,0.80,9.60,26.09
04/03/1993,12.50,3.78,7.60,26.09,1.60,0.00,0.80,2.40,24.17
05/03/1993,10.90,3.61,7.57,24.17,1.60,0.00,0.00,0.80,23.07
06/03/1993,11.20,3.70,9.98,23.07,0.00,0.00,2.40,0.80,41.84
07/03/1993,21.80,4.01,18.98,41.84,0.00,0.00,0.00,0.00,36.05
08/03/1993,15.60,3.30,13.16,36.05,0.00,0.00,0.00,0.00,28.01
09/03/1993,11.80,3.05,10.38,28.01,0.00,0.00,0.00,0.00,24.20
10/03/1993,10.50,2.91,9.19,24.20,0.00,0.00,0.00,0.00,22.00
11/03/1993,9.58,2.79,8.29,22.00,0.00,0.00,3.20,4.00,20.62
12/03/1993,8.99,2.87,7.83,20.62,0.00,0.80,5.60,1.60,20.02
13/03/1993,9.03,2.81,7.78,20.02,1.60,0.00,8.00,15.20,20.56
14/03/1993,8.95,2.75,7.74,20.56,0.80,0.00,23.20,6.40,17.97
15/03/1993,9.01,2.64,8.10,17.97,0.00,0.00,61.60,0.00,18.06
16/03/1993,7.33,2.55,7.18,18.06,11.20,0.00,86.00,19.20,17.16
17/03/1993,6.29,2.49,7.23,17.16,0.80,0.00,12.80,8.00,20.06
18/03/1993,9.18,2.56,9.85,20.06,0.00,0.00,0.80,4.80,22.36
19/03/1993,9.29,2.52,12.64,22.36,5.60,0.00,6.40,8.80,25.27
20/03/1993,10.70,2.40,11.60,25.27,0.00,0.00,10.40,0.00,20.08
21/03/1993,8.23,2.44,8.61,20.08,0.00,0.00,0.00,4.80,18.08
22/03/1993,7.75,2.48,8.52,18.08,6.40,0.00,0.00,29.60,21.39
23/03/1993,9.71,2.47,10.64,21.39,1.60,0.00,1.60,5.60,18.60
24/03/1993,7.87,2.39,8.41,18.60,11.20,0.80,10.40,13.60,17.51
25/03/1993,8.08,2.33,8.75,17.51,0.00,0.00,1.60,4.80,17.68
26/03/1993,7.87,2.26,8.37,17.68,0.00,0.00,0.00,0.00,16.52
27/03/1993,7.23,2.23,7.54,16.52,0.00,0.00,0.80,0.00,15.18
28/03/1993,6.75,2.24,6.86,15.18,0.00,0.00,0.00,0.00,14.32
29/03/1993,6.51,2.25,6.53,14.32,0.00,0.00,0.80,4.80,13.93
30/03/1993,6.37,2.23,6.35,13.93,2.40,0.00,8.00,16.80,13.99
31/03/1993,6.48,2.34,6.32,13.99,12.00,10.00,1.60,24.80,15.32
01/04/1993,7.31,2.46,8.00,15.32,5.60,7.20,13.60,15.20,17.46
02/04/1993,7.59,2.75,8.06,17.46,0.80,10.40,2.40,4.00,16.61
03/04/1993,7.29,2.58,7.27,16.61,0.00,1.60,13.60,22.80,15.23
04/04/1993,7.11,2.53,6.80,15.23,16.00,38.40,47.20,5.60,20.33
05/04/1993,9.05,4.10,9.41,20.33,0.00,1.60,4.00,48.00,44.18
06/04/1993,17.90,6.96,45.86,44.18,92.00,40.00,76.80,26.40,120.00
07/04/1993,58.60,7.27,64.78,120.00,24.80,0.00,21.60,6.40,52.00
08/04/1993,22.90,4.16,26.60,52.00,2.40,0.00,0.00,3.20,37.99
09/04/1993,14.10,3.55,16.60,37.99,17.60,7.20,51.20,0.00,92.73
10/04/1993,45.30,22.97,70.04,92.73,55.20,23.20,91.20,0.80,148.50
11/04/1993,63.50,19.28,46.38,148.50,0.80,0.80,0.80,0.00,77.64
12/04/1993,25.50,8.39,25.63,77.64,16.00,8.00,3.20,4.00,62.70
13/04/1993,22.60,13.60,25.38,62.70,37.20,6.40,15.20,7.20,72.00
14/04/1993,33.10,11.99,23.80,72.00,0.00,0.00,0.00,21.60,52.73
15/04/1993,19.60,7.38,17.47,52.73,0.00,0.00,0.00,27.20,38.61
16/04/1993,15.00,5.76,13.98,38.61,0.00,0.00,0.80,12.00,32.41
17/04/1993,13.40,5.11,11.86,32.41,0.00,4.00,55.20,22.00,29.05
18/04/1993,12.00,4.63,11.11,29.05,0.00,0.00,7.20,41.60,34.01
19/04/1993,11.90,4.82,28.25,34.01,32.80,8.80,143.20,1.60,66.89
20/04/1993,25.60,5.87,36.55,66.89,4.80,4.00,12.00,18.00,52.91
21/04/1993,18.60,5.12,19.74,52.91,5.60,1.60,12.80,103.60,40.00
22/04/1993,16.40,4.82,18.46,40.00,2.40,0.00,4.80,26.40,37.47
23/04/1993,14.30,4.35,14.61,37.47,0.00,0.00,4.80,7.20,30.47
24/04/1993,12.70,4.06,14.35,30.47,8.80,20.00,33.60,19.20,36.89
25/04/1993,15.60,4.39,17.31,36.89,5.60,0.80,0.80,8.80,90.87
26/04/1993,43.00,25.14,60.59,90.87,13.60,60.00,83.20,36.00,134.90
27/04/1993,55.30,18.88,37.16,134.90,18.40,0.00,7.20,6.40,73.96
28/04/1993,24.40,11.68,22.18,73.96,1.60,0.00,0.00,0.00,48.21
29/04/1993,17.30,7.95,16.25,48.21,1.60,0.00,0.00,0.00,37.13
30/04/1993,14.30,6.38,12.92,37.13,1.60,0.00,0.00,0.00,31.33
01/05/1993,12.40,5.29,10.97,31.33,0.80,0.00,0.00,4.00,29.42
02/05/1993,11.20,4.70,12.67,29.42,0.80,0.00,0.00,4.00,25.83
03/05/1993,10.20,4.47,9.64,25.83,0.00,4.80,8.80,28.00,22.82
04/05/1993,9.43,3.82,9.12,22.82,0.00,0.00,0.00,0.00,21.51
05/05/1993,8.80,3.55,8.71,21.51,0.00,0.00,0.00,0.00,19.93
06/05/1993,8.32,3.34,7.87,19.93,0.80,0.00,0.00,0.00,19.06
07/05/1993,8.04,3.26,7.38,19.06,0.00,0.00,0.00,0.00,18.14
08/05/1993,7.74,3.11,7.01,18.14,0.00,0.00,0.00,0.00,17.15
09/05/1993,7.38,2.98,6.74,17.15,0.00,0.00,0.00,0.00,16.21
10/05/1993,7.17,2.94,6.37,16.21,0.00,0.00,0.00,0.00,21.44
11/05/1993,7.89,6.36,8.69,21.44,2.40,11.20,20.00,47.20,24.91
12/05/1993,8.66,4.98,11.13,24.91,0.80,12.80,0.00,1.60,21.98
13/05/1993,8.40,3.79,8.80,21.98,0.00,0.00,0.00,0.00,19.51
14/05/1993,7.95,3.44,10.28,19.51,0.00,27.20,76.00,115.20,189.60
15/05/1993,120.00,40.57,188.75,189.60,9.60,145.60,149.60,178.80,277.10
16/05/1993,155.00,39.21,72.28,277.10,3.20,0.00,61.60,41.60,171.90
17/05/1993,73.00,18.78,68.59,171.90,0.80,26.40,90.40,132.00,211.80
18/05/1993,107.00,32.62,102.65,211.80,1.60,13.60,32.00,57.60,182.90
19/05/1993,81.20,23.83,64.31,182.90,0.80,0.80,1.60,1.60,103.00
20/05/1993,37.80,11.14,34.21,103.00,0.80,0.00,0.00,0.00,67.18
21/05/1993,25.50,9.08,29.53,67.18,49.60,34.40,48.80,42.40,92.33
22/05/1993,42.10,13.04,44.01,92.33,0.80,0.00,4.00,2.40,74.03
23/05/1993,27.50,9.24,26.43,74.03,0.00,0.00,0.00,0.00,51.53
24/05/1993,19.60,6.63,19.75,51.53,0.00,0.00,0.00,0.00,41.04
25/05/1993,16.20,5.41,15.91,41.04,0.00,0.00,0.00,0.00,34.74
26/05/1993,14.10,4.67,13.70,34.74,0.00,0.00,0.00,0.00,31.28
27/05/1993,13.00,4.26,12.55,31.28,7.20,4.80,14.40,32.80,29.67
28/05/1993,12.50,4.11,12.16,29.67,2.40,0.80,10.40,2.40,29.22
29/05/1993,12.20,3.85,12.32,29.22,2.40,0.00,24.80,16.00,27.60
30/05/1993,11.50,3.79,11.92,27.60,5.60,1.60,28.80,11.20,28.03
31/05/1993,11.40,4.05,16.53,28.03,48.00,5.60,46.00,118.40,123.90
01/06/1993,57.20,9.61,110.01,123.90,15.20,0.00,58.40,137.60,119.90
02/06/1993,32.10,14.62,48.41,119.90,5.60,4.00,23.20,16.00,60.87
03/06/1993,17.40,8.27,28.53,60.87,3.20,0.00,4.00,8.80,44.06
04/06/1993,14.50,5.88,21.31,44.06,0.00,1.60,0.00,0.00,35.14
05/06/1993,12.50,4.76,15.94,35.14,0.80,0.00,0.80,0.80,28.75
06/06/1993,10.80,4.00,12.73,28.75,0.00,0.00,0.00,0.00,24.44
07/06/1993,9.62,3.51,10.71,24.44,0.00,0.00,0.00,0.00,21.47
08/06/1993,8.72,3.16,9.44,21.47,0.00,0.00,0.00,0.80,19.92
09/06/1993,8.17,2.99,8.63,19.92,0.00,0.00,0.00,0.00,18.90
10/06/1993,7.85,2.95,8.03,18.90,4.00,0.00,25.60,4.80,18.55
11/06/1993,7.70,3.04,7.80,18.55,0.00,4.80,22.00,18.40,19.22
12/06/1993,8.28,3.10,8.48,19.22,19.20,18.40,14.40,30.40,20.78
13/06/1993,8.40,3.36,9.49,20.78,0.00,0.00,0.00,0.00,20.21
14/06/1993,8.02,3.16,8.93,20.21,0.00,0.00,0.00,0.00,21.15
15/06/1993,8.85,4.27,9.18,21.15,24.00,32.00,25.60,24.00,22.53
16/06/1993,9.11,3.81,9.54,22.53,7.20,4.80,34.40,10.40,20.07
17/06/1993,8.26,3.19,8.29,20.07,0.00,0.00,0.00,0.00,18.18
18/06/1993,7.55,2.96,7.87,18.18,4.80,6.40,26.40,16.80,18.48
19/06/1993,7.54,3.39,11.42,18.48,17.60,2.40,19.20,48.80,28.35
20/06/1993,10.90,3.39,15.85,28.35,6.40,0.80,11.20,18.00,24.66
21/06/1993,8.62,2.85,12.47,24.66,0.00,0.00,0.00,0.00,19.59
22/06/1993,7.33,2.65,9.31,19.59,0.00,0.00,0.00,0.00,16.59
23/06/1993,6.66,2.54,7.69,16.59,0.00,2.40,0.00,0.00,16.35
24/06/1993,6.62,3.01,7.69,16.35,0.80,5.60,0.00,0.80,15.80
25/06/1993,6.38,2.72,6.80,15.80,0.80,0.00,0.00,0.00,14.38
26/06/1993,6.24,2.48,6.36,14.38,4.80,19.20,5.60,11.20,14.31
27/06/1993,6.40,2.58,5.96,14.31,0.00,0.00,28.80,8.80,13.53
28/06/1993,5.90,2.41,5.49,13.53,0.00,0.00,0.00,0.00,12.83
29/06/1993,5.60,2.33,5.18,12.83,0.00,0.00,0.00,0.00,12.16
30/06/1993,5.30,2.27,4.89,12.16,0.00,0.00,0.00,0.00,11.70
01/07/1993,5.18,2.23,4.70,11.70,0.80,0.00,0.00,2.40,11.16
02/07/1993,5.01,2.20,4.78,11.16,0.00,0.00,0.00,3.20,11.60
03/07/1993,5.14,2.18,5.13,11.60,0.00,0.00,20.00,3.20,11.34
04/07/1993,4.89,2.17,4.58,11.34,0.80,0.00,71.20,10.40,10.95
05/07/1993,4.79,2.18,4.50,10.95,2.40,0.00,18.40,18.40,10.50
06/07/1993,4.64,2.13,4.41,10.50,0.00,0.00,0.00,0.00,10.20
07/07/1993,4.57,2.09,4.47,10.20,0.00,0.00,0.00,0.00,9.87
08/07/1993,4.23,2.06,4.31,9.87,0.00,0.00,0.00,0.00,9.66
09/07/1993,4.10,2.13,4.21,9.66,28.80,0.00,47.20,89.60,13.04
10/07/1993,4.57,2.43,9.09,13.04,0.00,0.00,22.40,11.20,14.60
11/07/1993,5.33,2.18,6.90,14.60,4.80,0.00,19.20,17.60,11.95
12/07/1993,4.50,2.07,5.43,11.95,4.00,0.00,19.20,21.60,10.70
13/07/1993,4.27,2.01,4.84,10.70,0.00,0.00,0.00,2.40,10.27
14/07/1993,4.11,2.00,4.64,10.27,12.00,5.60,20.00,0.80,10.58
15/07/1993,4.39,2.22,4.71,10.58,22.40,24.80,13.60,0.00,12.28
16/07/1993,5.07,3.13,5.29,12.28,22.40,3.20,24.00,0.00,17.62
17/07/1993,6.81,3.27,12.09,17.62,12.00,18.40,34.40,0.00,23.80
18/07/1993,9.18,2.46,11.17,23.80,0.00,0.00,7.20,0.00,17.75
19/07/1993,6.39,2.22,8.35,17.75,3.20,2.40,18.40,0.00,46.31
20/07/1993,7.54,13.26,43.20,46.31,37.60,16.00,90.40,0.00,46.49
21/07/1993,12.20,5.73,21.00,46.49,28.80,14.00,16.80,0.00,37.24
22/07/1993,9.01,5.30,23.61,37.24,0.00,0.00,0.00,0.00,24.29
23/07/1993,6.88,3.27,11.16,24.29,0.00,0.00,9.60,0.00,18.73
24/07/1993,5.57,2.87,18.21,18.73,20.80,0.00,26.40,3.20,39.61
25/07/1993,13.30,2.93,23.27,39.61,1.60,0.00,0.80,0.00,25.53
26/07/1993,7.93,2.66,12.30,25.53,4.00,1.60,46.00,0.00,22.36
27/07/1993,6.60,2.76,14.70,22.36,9.60,0.00,2.40,0.00,22.10
28/07/1993,6.69,2.79,13.13,22.10,4.00,1.60,28.00,0.00,23.89
29/07/1993,6.53,2.71,15.09,23.89,0.00,0.00,0.00,10.40,19.53
30/07/1993,5.96,2.57,9.86,19.53,2.40,0.00,10.40,0.00,15.53
31/07/1993,5.12,2.39,7.79,15.53,0.00,0.00,12.80,0.00,13.52
01/08/1993,4.80,2.28,6.65,13.52,12.80,0.00,36.80,0.00,12.49
02/08/1993,4.44,2.32,6.17,12.49,0.00,0.00,4.00,0.00,12.45
03/08/1993,4.46,2.66,5.76,12.45,3.20,0.00,18.40,0.00,12.56
04/08/1993,4.29,2.41,8.18,12.56,11.20,0.00,34.40,12.00,25.11
05/08/1993,9.76,3.01,17.89,25.11,4.80,22.40,24.80,13.60,108.00
06/08/1993,54.80,26.52,86.66,108.00,146.40,165.60,112.80,132.80,127.80
07/08/1993,55.10,13.69,34.23,127.80,7.20,4.80,2.40,1.60,48.75
08/08/1993,15.70,4.95,17.91,48.75,0.80,1.60,19.20,12.00,31.65
09/08/1993,12.10,3.93,16.39,31.65,3.20,0.80,14.40,4.80,33.63
10/08/1993,15.40,4.06,18.68,33.63,26.40,47.20,53.60,45.60,41.23
11/08/1993,16.20,3.77,15.09,41.23,0.00,0.00,0.80,1.60,40.14
12/08/1993,17.20,6.02,33.51,40.14,45.60,26.40,62.40,72.40,67.91
13/08/1993,27.50,5.69,28.49,67.91,8.80,17.60,14.40,32.80,44.83
14/08/1993,16.00,3.90,18.25,44.83,0.00,0.00,0.00,0.00,30.32
15/08/1993,11.10,3.33,11.97,30.32,0.00,0.00,0.00,0.00,31.47
16/08/1993,12.40,5.42,15.61,31.47,28.00,34.00,48.00,25.60,33.00
17/08/1993,12.10,4.13,12.26,33.00,0.00,8.00,0.00,0.00,24.38
18/08/1993,9.26,3.33,9.11,24.38,0.00,0.00,0.00,0.00,20.33
19/08/1993,7.98,3.05,7.76,20.33,0.00,0.00,0.00,0.00,17.90
20/08/1993,7.04,2.88,6.89,17.90,0.00,0.00,22.40,4.00,15.83
21/08/1993,6.35,2.81,6.33,15.83,0.00,0.00,5.60,0.80,14.52
22/08/1993,5.86,2.73,5.95,14.52,1.60,0.00,8.00,3.20,13.99
23/08/1993,5.51,3.06,5.61,13.99,20.80,0.00,0.00,4.80,13.78
24/08/1993,5.48,2.76,5.50,13.78,4.00,0.80,0.00,4.00,13.29
25/08/1993,5.32,2.60,5.27,13.29,0.00,0.00,0.00,0.00,12.84
26/08/1993,5.20,2.52,5.09,12.84,0.00,0.00,0.00,0.00,12.39
27/08/1993,5.00,2.49,4.95,12.39,0.00,0.00,0.00,0.00,12.07
28/08/1993,4.82,2.44,4.78,12.07,0.00,0.00,0.00,0.00,11.58
29/08/1993,4.65,2.42,4.68,11.58,0.00,0.00,0.80,0.00,11.32
30/08/1993,4.53,2.35,4.62,11.32,0.00,0.00,8.00,5.60,10.88
31/08/1993,4.38,2.34,4.43,10.88,0.00,0.00,0.00,0.00,10.58
01/09/1993,4.28,2.30,4.31,10.58,0.00,0.00,0.00,0.00,10.48
02/09/1993,4.26,2.29,4.22,10.48,0.00,0.00,0.80,4.00,10.34
03/09/1993,4.12,2.26,4.20,10.34,0.00,0.00,0.00,0.00,10.25
04/09/1993,4.12,2.26,4.08,10.25,4.80,0.00,0.00,4.80,10.04
05/09/1993,4.04,2.24,4.04,10.04,0.00,0.00,0.00,0.00,9.96
06/09/1993,3.98,2.23,3.99,9.96,0.00,0.00,0.00,0.00,9.95
07/09/1993,3.96,2.24,3.94,9.95,0.00,0.00,0.00,0.00,10.01
08/09/1993,3.94,2.22,3.75,10.01,3.20,0.00,0.00,0.00,11.97
09/09/1993,4.84,4.54,12.75,11.97,116.40,26.40,95.60,132.80,58.26
10/09/1993,33.80,7.84,32.70,58.26,10.80,11.60,3.20,19.20,55.08
11/09/1993,20.80,6.69,39.42,55.08,18.40,5.60,40.80,118.00,61.80
12/09/1993,19.70,4.54,27.11,61.80,8.00,0.00,24.00,12.40,34.91
13/09/1993,12.20,3.33,15.40,34.91,5.60,0.00,7.20,11.20,129.00
14/09/1993,75.60,39.17,158.42,129.00,225.20,55.60,208.80,196.80,317.40
15/09/1993,180.00,70.72,153.23,317.40,103.20,74.40,30.40,22.40,337.20
16/09/1993,167.00,80.24,129.35,337.20,80.00,36.80,15.20,16.80,258.90
17/09/1993,105.00,51.68,54.93,258.90,12.00,15.20,0.00,0.00,152.90
18/09/1993,50.00,27.40,34.09,152.90,0.00,0.00,0.00,0.00,93.07
19/09/1993,28.10,17.74,24.37,93.07,0.00,0.00,0.00,0.00,62.26
20/09/1993,19.30,13.53,19.05,62.26,0.00,0.00,0.80,1.60,49.15
21/09/1993,16.90,10.17,18.33,49.15,12.80,10.40,58.40,42.40,47.41
22/09/1993,16.50,8.91,17.58,47.41,0.80,0.00,5.60,21.60,38.26
23/09/1993,13.80,5.53,15.17,38.26,0.00,0.00,8.80,0.80,32.00
24/09/1993,12.20,4.92,13.53,32.00,0.00,0.00,0.80,0.00,31.00
25/09/1993,11.10,4.47,11.67,31.00,0.00,0.00,3.20,0.00,29.11
26/09/1993,9.94,4.21,10.31,29.11,0.00,0.00,0.80,0.80,25.99
27/09/1993,9.19,3.87,9.28,25.99,0.00,0.00,0.00,0.00,23.38
28/09/1993,8.61,3.67,8.48,23.38,0.00,0.00,0.00,0.00,21.42
29/09/1993,8.23,3.61,7.90,21.42,0.00,0.00,0.00,0.00,20.33
30/09/1993,8.02,4.68,7.66,20.33,3.20,0.80,32.80,3.20,20.44
01/10/1993,8.05,4.07,7.85,20.44,23.20,10.40,15.20,21.60,26.30
02/10/1993,10.80,6.48,12.78,26.30,12.80,8.80,37.60,17.60,82.21
03/10/1993,35.60,18.36,56.00,82.21,69.60,38.40,30.40,25.60,104.40
04/10/1993,44.40,16.30,31.95,104.40,0.00,0.00,0.00,0.00,68.06
05/10/1993,23.00,14.14,25.03,68.06,6.40,0.80,16.00,4.00,69.72
06/10/1993,25.70,16.14,34.01,69.72,46.40,52.80,28.80,20.80,133.40
07/10/1993,71.40,25.92,56.15,133.40,12.80,18.80,12.80,12.00,185.00
08/10/1993,95.40,35.33,82.07,185.00,23.60,28.40,20.80,31.20,150.40
09/10/1993,68.10,19.79,43.91,150.40,1.60,0.00,0.80,0.80,90.31
10/10/1993,37.70,13.40,30.39,90.31,0.00,13.60,0.00,1.60,71.14
11/10/1993,30.20,11.54,24.32,71.14,0.80,0.00,0.80,2.40,59.05
12/10/1993,22.40,10.14,19.71,59.05,1.60,2.40,4.00,0.00,68.72
13/10/1993,33.90,18.11,27.47,68.72,66.40,20.80,20.80,20.00,98.35
14/10/1993,52.00,16.21,31.81,98.35,4.80,4.80,0.00,0.00,74.58
15/10/1993,31.40,12.01,22.31,74.58,0.00,5.60,0.80,0.80,55.06
16/10/1993,22.30,8.79,17.59,55.06,0.00,0.00,0.00,0.80,42.92
17/10/1993,18.10,5.77,14.76,42.92,0.00,0.00,0.00,0.00,36.39
18/10/1993,15.50,5.30,12.93,36.39,0.00,0.00,0.00,0.80,32.49
19/10/1993,13.90,4.84,11.76,32.49,0.00,0.00,0.80,0.00,30.28
20/10/1993,13.00,4.65,11.05,30.28,0.00,0.00,0.80,0.80,29.30
21/10/1993,12.80,4.67,10.59,29.30,4.00,12.00,11.20,12.80,28.16
22/10/1993,13.20,4.37,10.33,28.16,0.00,7.20,0.80,0.80,27.79
23/10/1993,12.60,4.09,10.06,27.79,0.00,0.80,0.00,0.00,26.08
24/10/1993,11.70,3.95,9.49,26.08,0.00,0.00,0.00,0.00,24.67
25/10/1993,11.00,3.80,9.07,24.67,0.80,1.60,0.80,0.00,23.32
26/10/1993,10.50,3.71,8.63,23.32,0.00,0.00,0.00,0.00,22.19
27/10/1993,9.99,3.61,8.13,22.19,0.00,0.00,0.00,0.00,21.05
28/10/1993,9.46,3.55,7.77,21.05,0.00,0.00,0.00,0.00,20.32
29/10/1993,9.09,3.49,7.55,20.32,0.00,0.00,0.00,0.00,19.71
30/10/1993,8.76,3.42,7.37,19.71,0.00,0.00,0.00,0.00,19.23
31/10/1993,8.53,3.34,7.16,19.23,0.80,0.00,0.00,0.00,18.76
01/11/1993,8.43,3.26,7.08,18.76,0.00,0.00,0.00,0.00,18.53
02/11/1993,8.35,3.31,6.97,18.53,0.00,0.00,0.80,3.20,18.36
03/11/1993,8.12,3.33,6.86,18.36,0.00,0.00,0.00,0.00,18.00
04/11/1993,8.15,3.28,6.80,18.00,2.40,2.40,5.60,4.00,17.70
05/11/1993,8.02,3.24,6.69,17.70,0.00,0.00,3.20,2.40,17.80
06/11/1993,8.00,3.20,6.69,17.80,0.00,0.00,0.00,0.00,17.50
07/11/1993,7.68,3.17,6.57,17.50,0.00,0.00,0.80,0.80,17.15
08/11/1993,7.58,3.17,6.55,17.15,0.80,0.00,1.60,0.00,16.48
09/11/1993,7.48,3.13,6.48,16.48,0.00,0.00,0.00,0.80,17.70
10/11/1993,7.91,3.66,6.43,17.70,0.00,7.20,42.40,47.20,24.88
11/11/1993,10.40,4.05,13.48,24.88,0.00,1.60,0.80,0.00,26.69
12/11/1993,10.10,3.59,10.30,26.69,0.00,0.00,5.60,0.00,22.02
13/11/1993,8.54,3.35,8.49,22.02,1.60,0.00,21.60,24.80,26.34
14/11/1993,10.10,5.04,14.96,26.34,23.20,36.00,56.00,23.20,114.90
15/11/1993,66.80,26.44,45.56,114.90,21.60,47.20,9.60,8.00,97.19
16/11/1993,46.20,9.50,20.64,97.19,0.00,0.00,0.00,0.00,52.90
17/11/1993,23.50,6.43,13.99,52.90,0.00,0.00,0.00,0.00,39.39
18/11/1993,16.70,5.40,11.26,39.39,0.00,0.00,0.00,0.00,36.00
19/11/1993,13.70,4.88,9.88,36.00,0.00,0.00,0.00,0.00,31.05
20/11/1993,11.90,4.55,8.91,31.05,0.00,0.00,0.80,0.00,26.00
